kernel_name,duration_us,timestamp,grid_size,block_size,registers_per_thread,shared_mem_bytes,static_shared_mem_bytes,dynamic_shared_mem_bytes,occupancy,memory_throughput_gbps,compute_throughput_pct,l1_hit_rate,l1_bytes_total,l1_utilization,l2_hit_rate,l2_bytes_total,l2_bytes_miss,l2_utilization,dram_read_bytes,dram_write_bytes,dram_utilization,global_load_efficiency,global_store_efficiency,global_load_transactions,global_store_transactions,shared_utilization,shared_bank_conflicts
action_score,10.592,2026-09-11T05:56:48.364759,"2,1,1","256,1,1",30,1024,1024,0,,,,,,,,,,,,,,,,,,,
belief_couple,2.496,2026-09-11T05:56:48.364805,"1,1,1","4,1,1",23,12,0,12,,,,,,,,,,,,,,,,,,,
belief_update,1573.013,2026-09-11T05:56:48.364818,"1,1,1","1024,1,1",44,8192,8192,0,,,,,,,,,,,,,,,,,,,
cognition_update,1642.228,2026-09-11T05:56:48.364827,"1,1,1","1024,1,1",48,8192,8192,0,,,,,,,,,,,,,,,,,,,
cognition_update,1641.076,2026-09-11T05:56:48.364835,"1,1,1","1024,1,1",48,8192,8192,0,,,,,,,,,,,,,,,,,,,
cognition_patch,1.408,2026-09-11T05:56:48.364843,"1,1,1","1,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
costmap_stats,1.44,2026-09-11T05:56:48.364850,"16,1,1","256,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
perception_voxel,11.84,2026-09-11T05:56:48.364858,"48,1,1","256,1,1",21,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.472,2026-09-11T05:56:48.364874,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.056,2026-09-11T05:56:48.364886,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.056,2026-09-11T05:56:48.364893,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.024,2026-09-11T05:56:48.364901,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.056,2026-09-11T05:56:48.364908,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.056,2026-09-11T05:56:48.364915,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.056,2026-09-11T05:56:48.364922,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.024,2026-09-11T05:56:48.364931,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
