run,id,kernel,context,stream,block_size,grid_size,device,cc,gpu__time_duration.sum,gpu__time_duration.sum_unit,launch__block_size,launch__grid_size,launch__registers_per_thread,launch__registers_per_thread_unit,launch__shared_mem_per_block_dynamic,launch__shared_mem_per_block_dynamic_unit,launch__shared_mem_per_block_static,launch__shared_mem_per_block_static_unit,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg_unit,launch_statistics_block_size,launch_statistics_function_cache_configuration,launch_statistics_grid_size,launch_statistics_registers_per_thread,launch_statistics_registers_per_thread_unit,launch_statistics_shared_memory_configuration_size,launch_statistics_shared_memory_configuration_size_unit,launch_statistics_driver_shared_memory_per_block,launch_statistics_driver_shared_memory_per_block_unit,launch_statistics_dynamic_shared_memory_per_block,launch_statistics_dynamic_shared_memory_per_block_unit,launch_statistics_static_shared_memory_per_block,launch_statistics_static_shared_memory_per_block_unit,launch_statistics_sms,launch_statistics_sms_unit,launch_statistics_stack_size,launch_statistics_threads,launch_statistics_threads_unit,launch_statistics_tpcs,launch_statistics_enabled_tpc_ids,launch_statistics_uses_green_context,launch_statistics_waves_per_sm,occupancy_block_limit_sm,occupancy_block_limit_sm_unit,occupancy_block_limit_registers,occupancy_block_limit_registers_unit,occupancy_block_limit_shared_mem,occupancy_block_limit_shared_mem_unit,occupancy_block_limit_warps,occupancy_block_limit_warps_unit,occupancy_theoretical_active_warps_per_sm,occupancy_theoretical_active_warps_per_sm_unit,occupancy_theoretical_occupancy,occupancy_theoretical_occupancy_unit,occupancy_achieved_occupancy,occupancy_achieved_occupancy_unit,occupancy_achieved_active_warps_per_sm,occupancy_achieved_active_warps_per_sm_unit
base,0,belief_couple,1,7,"(7, 1, 1)","(1, 1, 1)",0,8.7,30336,ns,7,1,26,register/thread,12,byte/block,0,byte/block,9216,cycle,7,CachePreferNone,1,26,register/thread,32768,byte,1024,byte/block,12,byte/block,0,byte/block,4,SM,512,7,thread,2,all,0,0.02,16,block,64,block,28,block,48,block,16,warp,33.33,%,2.08,%,1,warp
base,1,belief_couple,1,7,"(1024, 1, 1)","(1, 1, 1)",0,8.7,902528,ns,1024,1,26,register/thread,8192,byte/block,0,byte/block,276128,cycle,1024,CachePreferNone,1,26,register/thread,16384,byte,1024,byte/block,8192,byte/block,0,byte/block,4,SM,512,1024,thread,2,all,0,0.25,16,block,2,block,1,block,1,block,32,warp,66.67,%,51.94,%,24.93,warp
base,2,belief_couple,1,7,"(98, 1, 1)","(1, 1, 1)",0,8.7,57152,ns,98,1,26,register/thread,148,byte/block,0,byte/block,35646,cycle,98,CachePreferNone,1,26,register/thread,16384,byte,1024,byte/block,148,byte/block,0,byte/block,4,SM,512,98,thread,2,all,0,0.02,16,block,16,block,12,block,12,block,48,warp,100,%,6.89,%,3.31,warp
base,3,perception_voxel,1,7,"(256, 1, 1)","(48, 1, 1)",0,8.7,9728,ns,256,48,21,register/thread,0,byte/block,0,byte/block,5992,cycle,256,CachePreferNone,48,21,register/thread,8192,byte,1024,byte/block,0,byte/block,0,byte/block,4,SM,512,12288,thread,2,all,0,2,16,block,10,block,8,block,6,block,48,warp,100,%,83.10,%,39.89,warp
base,4,perception_voxel,1,7,"(256, 1, 1)","(48, 1, 1)",0,8.7,1046368,ns,256,48,21,register/thread,0,byte/block,0,byte/block,320153,cycle,256,CachePreferNone,48,21,register/thread,8192,byte,1024,byte/block,0,byte/block,0,byte/block,4,SM,512,12288,thread,2,all,0,2,16,block,10,block,8,block,6,block,48,warp,100,%,82.04,%,39.38,warp
base,5,perception_voxel,1,7,"(256, 1, 1)","(48, 1, 1)",0,8.7,280256,ns,256,48,21,register/thread,0,byte/block,0,byte/block,173745,cycle,256,CachePreferNone,48,21,register/thread,8192,byte,1024,byte/block,0,byte/block,0,byte/block,4,SM,512,12288,thread,2,all,0,2,16,block,10,block,8,block,6,block,48,warp,100,%,83.98,%,40.31,warp
base,6,action_score,1,7,"(256, 1, 1)","(2, 1, 1)",0,8.7,55392,ns,256,2,30,register/thread,0,byte/block,1024,byte/block,16922,cycle,256,CachePreferNone,2,30,register/thread,16384,byte,1024,byte/block,0,byte/block,1024,byte/block,4,SM,512,512,thread,2,all,0,0.08,16,block,8,block,8,block,6,block,48,warp,100,%,16.53,%,7.94,warp
base,7,action_score,1,7,"(256, 1, 1)","(1, 1, 1)",0,8.7,6496,ns,256,1,30,register/thread,0,byte/block,1024,byte/block,4020,cycle,256,CachePreferNone,1,30,register/thread,16384,byte,1024,byte/block,0,byte/block,1024,byte/block,4,SM,512,256,thread,2,all,0,0.04,16,block,8,block,8,block,6,block,48,warp,100,%,15.92,%,7.64,warp
base,8,action_score,1,7,"(256, 1, 1)","(64, 1, 1)",0,8.7,1222720,ns,256,64,30,register/thread,0,byte/block,1024,byte/block,373961,cycle,256,CachePreferNone,64,30,register/thread,16384,byte,1024,byte/block,0,byte/block,1024,byte/block,4,SM,512,16384,thread,2,all,0,2.67,16,block,8,block,8,block,6,block,48,warp,100,%,87.80,%,42.14,warp
base,9,action_score,1,7,"(256, 1, 1)","(5, 1, 1)",0,8.7,126080,ns,256,5,30,register/thread,0,byte/block,1024,byte/block,38533,cycle,256,CachePreferNone,5,30,register/thread,16384,byte,1024,byte/block,0,byte/block,1024,byte/block,4,SM,512,1280,thread,2,all,0,0.21,16,block,8,block,8,block,6,block,48,warp,100,%,18.80,%,9.02,warp
