"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","288799","gpu-e5293633ad869b15","127.0.0.1","action_score","1","7","(256, 1, 1)","(2, 1, 1)","0","8.7","GPU Speed Of Light Throughput","SM Frequency","Mhz","305.35",
"0","288799","gpu-e5293633ad869b15","127.0.0.1","action_score","1","7","(256, 1, 1)","(2, 1, 1)","0","8.7","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","29,656",
"0","288799","gpu-e5293633ad869b15","127.0.0.1","action_score","1","7","(256, 1, 1)","(2, 1, 1)","0","8.7","GPU Speed Of Light Throughput","Memory Throughput","%","nan",
"0","288799","gpu-e5293633ad869b15","127.0.0.1","action_score","1","7","(256, 1, 1)","(2, 1, 1)","0","8.7","GPU Speed Of Light Throughput","Duration","us","97.12",
"0","288799","gpu-e5293633ad869b15","127.0.0.1","action_score","1","7","(256, 1, 1)","(2, 1, 1)","0","8.7","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","nan",
"0","288799","gpu-e5293633ad869b15","127.0.0.1","action_score","1","7","(256, 1, 1)","(2, 1, 1)","0","8.7","GPU Speed Of Light Throughput","L2 Cache Throughput","%","nan",
"0","288799","gpu-e5293633ad869b15","127.0.0.1","action_score","1","7","(256, 1, 1)","(2, 1, 1)","0","8.7","GPU Speed Of Light Throughput","SM Active Cycles","cycle","nan",
"0","288799","gpu-e5293633ad869b15","127.0.0.1","action_score","1","7","(256, 1, 1)","(2, 1, 1)","0","8.7","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","nan",
"0","288799","gpu-e5293633ad869b15","127.0.0.1","action_score","1","7","(256, 1, 1)","(2, 1, 1)","0","8.7","SpeedOfLight","","","","SOLBottleneck","INF","This workload is utilizing greater than 80.0% of the available compute or memory performance of the device. To further improve performance, work will likely need to be shifted from the most utilized to another unit. Start by analyzing workloads in the Memory Workload Analysis section.","",""
"0","288799","gpu-e5293633ad869b15","127.0.0.1","action_score","1","7","(256, 1, 1)","(2, 1, 1)","0","8.7","Launch Statistics","Block Size","","256",
"0","288799","gpu-e5293633ad869b15","127.0.0.1","action_score","1","7","(256, 1, 1)","(2, 1, 1)","0","8.7","Launch Statistics","Function Cache Configuration","","CachePreferNone",
"0","288799","gpu-e5293633ad869b15","127.0.0.1","action_score","1","7","(256, 1, 1)","(2, 1, 1)","0","8.7","Launch Statistics","Grid Size","","2",
"0","288799","gpu-e5293633ad869b15","127.0.0.1","action_score","1","7","(256, 1, 1)","(2, 1, 1)","0","8.7","Launch Statistics","Registers Per Thread","register/thread","30",
"0","288799","gpu-e5293633ad869b15","127.0.0.1","action_score","1","7","(256, 1, 1)","(2, 1, 1)","0","8.7","Launch Statistics","Shared Memory Configuration Size","Kbyte","16.38",
"0","288799","gpu-e5293633ad869b15","127.0.0.1","action_score","1","7","(256, 1, 1)","(2, 1, 1)","0","8.7","Launch Statistics","Driver Shared Memory Per Block","Kbyte/block","1.02",
"0","288799","gpu-e5293633ad869b15","127.0.0.1","action_score","1","7","(256, 1, 1)","(2, 1, 1)","0","8.7","Launch Statistics","Dynamic Shared Memory Per Block","byte/block","0",
"0","288799","gpu-e5293633ad869b15","127.0.0.1","action_score","1","7","(256, 1, 1)","(2, 1, 1)","0","8.7","Launch Statistics","Static Shared Memory Per Block","Kbyte/block","1.02",
"0","288799","gpu-e5293633ad869b15","127.0.0.1","action_score","1","7","(256, 1, 1)","(2, 1, 1)","0","8.7","Launch Statistics","# SMs","SM","4",
