run,id,kernel,context,stream,block_size,grid_size,device,cc,sm_frequency,sm_frequency_unit,sm__cycles_elapsed.avg,sm__cycles_elapsed.avg_unit,memory_throughput,memory_throughput_unit,gpu__time_duration.sum,gpu__time_duration.sum_unit,l1_tex_cache_throughput,l1_tex_cache_throughput_unit,l2_cache_throughput,l2_cache_throughput_unit,sm__cycles_elapsed.avg.per_second,sm__cycles_elapsed.avg.per_second_unit,compute_sm_throughput,compute_sm_throughput_unit,launch_statistics_block_size,launch_statistics_function_cache_configuration,launch_statistics_grid_size,launch_statistics_registers_per_thread,launch_statistics_registers_per_thread_unit,launch_statistics_shared_memory_configuration_size,launch_statistics_shared_memory_configuration_size_unit,launch_statistics_driver_shared_memory_per_block,launch_statistics_driver_shared_memory_per_block_unit,launch_statistics_dynamic_shared_memory_per_block,launch_statistics_dynamic_shared_memory_per_block_unit,launch_statistics_static_shared_memory_per_block,launch_statistics_static_shared_memory_per_block_unit,launch_statistics_sms,launch_statistics_sms_unit,launch_statistics_stack_size,launch_statistics_threads,launch_statistics_threads_unit,launch_statistics_tpcs,launch_statistics_enabled_tpc_ids,launch_statistics_uses_green_context,launch_statistics_waves_per_sm,occupancy_block_limit_sm,occupancy_block_limit_sm_unit,occupancy_block_limit_registers,occupancy_block_limit_registers_unit,occupancy_block_limit_shared_mem,occupancy_block_limit_shared_mem_unit,occupancy_block_limit_warps,occupancy_block_limit_warps_unit,occupancy_theoretical_active_warps_per_sm,occupancy_theoretical_active_warps_per_sm_unit,occupancy_theoretical_occupancy,occupancy_theoretical_occupancy_unit,occupancy_achieved_occupancy,occupancy_achieved_occupancy_unit,occupancy_achieved_active_warps_per_sm,occupancy_achieved_active_warps_per_sm_unit,average_l1_active_cycles,average_l1_active_cycles_unit,total_l1_elapsed_cycles,total_l1_elapsed_cycles_unit,average_l2_active_cycles,average_l2_active_cycles_unit,total_l2_elapsed_cycles,total_l2_elapsed_cycles_unit,average_mc_channel_active_cycles,average_mc_channel_active_cycles_unit,total_mc_channel_elapsed_cycles,total_mc_channel_elapsed_cycles_unit,average_sm_active_cycles,average_sm_active_cycles_unit,total_sm_elapsed_cycles,total_sm_elapsed_cycles_unit,average_smsp_active_cycles,average_smsp_active_cycles_unit,total_smsp_elapsed_cycles,total_smsp_elapsed_cycles_unit
board-dial-2.5,0,belief_update,1,7,"(1024, 1, 1)","(1, 1, 1)",0,8.7,305.97,Mhz,1078340,cycle,nan,%,3.52,ms,nan,%,nan,%,nan,cycle,nan,%,1024,CachePreferNone,1,44,register/thread,16.38,Kbyte,1.02,Kbyte/block,0,byte/block,8.19,Kbyte/block,4,SM,512,1024,thread,2,all,0,0.25,16,block,1,block,1,block,1,block,32,warp,66.67,%,nan,%,nan,warp,nan,cycle,nan,cycle,nan,cycle,8616672,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle
board-dial-2.5,1,belief_update,1,7,"(1024, 1, 1)","(1, 1, 1)",0,8.7,305.98,Mhz,1078825,cycle,nan,%,3.53,ms,nan,%,nan,%,nan,cycle,nan,%,1024,CachePreferNone,1,44,register/thread,16.38,Kbyte,1.02,Kbyte/block,0,byte/block,8.19,Kbyte/block,4,SM,512,1024,thread,2,all,0,0.25,16,block,1,block,1,block,1,block,32,warp,66.67,%,nan,%,nan,warp,nan,cycle,nan,cycle,nan,cycle,8622176,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle
board-dial-2.5,2,belief_update,1,7,"(1024, 1, 1)","(1, 1, 1)",0,8.7,305.98,Mhz,1078918,cycle,nan,%,3.53,ms,nan,%,nan,%,nan,cycle,nan,%,1024,CachePreferNone,1,44,register/thread,16.38,Kbyte,1.02,Kbyte/block,0,byte/block,8.19,Kbyte/block,4,SM,512,1024,thread,2,all,0,0.25,16,block,1,block,1,block,1,block,32,warp,66.67,%,nan,%,nan,warp,nan,cycle,nan,cycle,nan,cycle,8620024,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle
board-dial-2.5,3,belief_update,1,7,"(1024, 1, 1)","(1, 1, 1)",0,8.7,305.98,Mhz,1078969,cycle,nan,%,3.53,ms,nan,%,nan,%,nan,cycle,nan,%,1024,CachePreferNone,1,44,register/thread,16.38,Kbyte,1.02,Kbyte/block,0,byte/block,8.19,Kbyte/block,4,SM,512,1024,thread,2,all,0,0.25,16,block,1,block,1,block,1,block,32,warp,66.67,%,nan,%,nan,warp,nan,cycle,nan,cycle,nan,cycle,8622040,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle
board-dial-2.5,4,belief_update,1,7,"(1024, 1, 1)","(1, 1, 1)",0,8.7,624.72,Mhz,1082309,cycle,nan,%,1.73,ms,nan,%,nan,%,nan,cycle,nan,%,1024,CachePreferNone,1,44,register/thread,16.38,Kbyte,1.02,Kbyte/block,0,byte/block,8.19,Kbyte/block,4,SM,512,1024,thread,2,all,0,0.25,16,block,1,block,1,block,1,block,32,warp,66.67,%,nan,%,nan,warp,nan,cycle,nan,cycle,nan,cycle,8658584,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle
board-dial-2.5,5,belief_update,1,7,"(1024, 1, 1)","(1, 1, 1)",0,8.7,305.98,Mhz,1078653,cycle,nan,%,3.53,ms,nan,%,nan,%,nan,cycle,nan,%,1024,CachePreferNone,1,44,register/thread,16.38,Kbyte,1.02,Kbyte/block,0,byte/block,8.19,Kbyte/block,4,SM,512,1024,thread,2,all,0,0.25,16,block,1,block,1,block,1,block,32,warp,66.67,%,nan,%,nan,warp,nan,cycle,nan,cycle,nan,cycle,8620632,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle
board-dial-2.5,6,belief_update,1,7,"(1024, 1, 1)","(1, 1, 1)",0,8.7,305.98,Mhz,1078535,cycle,nan,%,3.52,ms,nan,%,nan,%,nan,cycle,nan,%,1024,CachePreferNone,1,44,register/thread,16.38,Kbyte,1.02,Kbyte/block,0,byte/block,8.19,Kbyte/block,4,SM,512,1024,thread,2,all,0,0.25,16,block,1,block,1,block,1,block,32,warp,66.67,%,nan,%,nan,warp,nan,cycle,nan,cycle,nan,cycle,8628288,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle
board-dial-2.5,7,belief_update,1,7,"(1024, 1, 1)","(1, 1, 1)",0,8.7,305.98,Mhz,1079158,cycle,nan,%,3.53,ms,nan,%,nan,%,nan,cycle,nan,%,1024,CachePreferNone,1,44,register/thread,16.38,Kbyte,1.02,Kbyte/block,0,byte/block,8.19,Kbyte/block,4,SM,512,1024,thread,2,all,0,0.25,16,block,1,block,1,block,1,block,32,warp,66.67,%,nan,%,nan,warp,nan,cycle,nan,cycle,nan,cycle,8633288,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle
board-dial-2.5,8,belief_update,1,7,"(1024, 1, 1)","(1, 1, 1)",0,8.7,305.98,Mhz,1078177,cycle,nan,%,3.52,ms,nan,%,nan,%,nan,cycle,nan,%,1024,CachePreferNone,1,44,register/thread,16.38,Kbyte,1.02,Kbyte/block,0,byte/block,8.19,Kbyte/block,4,SM,512,1024,thread,2,all,0,0.25,16,block,1,block,1,block,1,block,32,warp,66.67,%,nan,%,nan,warp,nan,cycle,nan,cycle,nan,cycle,8625432,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle
board-dial-2.5,9,belief_update,1,7,"(1024, 1, 1)","(1, 1, 1)",0,8.7,305.98,Mhz,1078621,cycle,nan,%,3.53,ms,nan,%,nan,%,nan,cycle,nan,%,1024,CachePreferNone,1,44,register/thread,16.38,Kbyte,1.02,Kbyte/block,0,byte/block,8.19,Kbyte/block,4,SM,512,1024,thread,2,all,0,0.25,16,block,1,block,1,block,1,block,32,warp,66.67,%,nan,%,nan,warp,nan,cycle,nan,cycle,nan,cycle,8628984,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle,nan,cycle
