phase,api,calls,total_ns,mean_ns,p50_ns,p95_ns,max_ns,span_s,calls_per_second
epoch,close,3,13298,4432.7,5141,7027,7027,0.0,13332.0
epoch,futex,398063,85823833958,215603.6,32554,418140,562735888,2.867,138828.6
epoch,mmap64,32,3820626,119394.6,39414,724410,1063090,0.014,2355.8
epoch,mprotect,32,1684061,52626.9,28482,134616,565554,0.042,770.5
epoch,open64,1286,2015889,1567.6,1407,1907,39165,0.006,224801.8
epoch,pthread_create,32,8913464,278545.8,195980,993394,1211943,0.013,2555.1
epoch,read,8,162249,20281.1,8592,112045,112045,0.006,1412.7
epoch,statx,191,260888,1365.9,1191,2176,7122,0.005,35110.1
materialize I/O,[Unknown],1,0,0.0,0,0,0,0.0,
materialize I/O,close,3,8225,2741.7,2906,3255,3255,1.363,2.2
materialize I/O,open64,4,61132,15283.0,20802,21352,21352,1.363,2.9
materialize I/O,read,4,175915,43978.8,53528,55995,55995,1.363,2.9
materialize I/O,statx,3,8824,2941.3,3342,3495,3495,1.363,2.2
materialize progress,write,7,138582,19797.4,15861,38514,38514,2.731,2.6
