bucket_100ms,window_offset_ms,api,calls
0,0,[Unknown],1
3,300,write,3
5,500,close,2
5,500,open64,2
5,500,read,2
5,500,statx,2
17,1700,write,2
19,1900,close,1
19,1900,open64,2
19,1900,read,2
19,1900,statx,1
31,3100,close,3
31,3100,futex,6554
31,3100,mmap64,32
31,3100,mprotect,32
31,3100,open64,1286
31,3100,pthread_create,32
31,3100,read,8
31,3100,statx,191
31,3100,write,2
32,3200,futex,13743
33,3300,futex,14743
34,3400,futex,9894
35,3500,futex,15959
36,3600,futex,16020
37,3700,futex,8399
38,3800,futex,14079
39,3900,futex,14666
40,4000,futex,9900
41,4100,futex,16551
42,4200,futex,16417
43,4300,futex,9316
44,4400,futex,16325
45,4500,futex,17063
46,4600,futex,10024
47,4700,futex,13898
48,4800,futex,17809
49,4900,futex,10433
50,5000,futex,14021
51,5100,futex,16833
52,5200,futex,13487
53,5300,futex,13141
54,5400,futex,14358
55,5500,futex,16055
56,5600,futex,14196
57,5700,futex,11211
58,5800,futex,20112
59,5900,futex,12856
