decision,window,test,api,input,rung,thread_global_id,window_start_ns,window_end_ns,window_start_utc,window_duration_us,parent_create_end_ns,parent_join_end_ns
1,1,a_reading_that_leaves_observe_only_restarts_the_hold,Ladder::step,mahalanobis=12.0 sample_count=1 attempts=0 now_ns=0,ObserveOnly,281629914309670,36142808,37355519,2026-09-11T21:23:28.547500Z,1212.711,35966465,37547932
2,1,a_reading_that_leaves_observe_only_restarts_the_hold,Ladder::step,mahalanobis=4.0 sample_count=1 attempts=0 now_ns=9000000000,Recalibrate,281629914309670,36142808,37355519,2026-09-11T21:23:28.547500Z,1212.711,35966465,37547932
3,1,a_reading_that_leaves_observe_only_restarts_the_hold,Ladder::step,mahalanobis=12.0 sample_count=1 attempts=0 now_ns=10000000000,ObserveOnly,281629914309670,36142808,37355519,2026-09-11T21:23:28.547500Z,1212.711,35966465,37547932
4,1,a_reading_that_leaves_observe_only_restarts_the_hold,Ladder::step,mahalanobis=12.0 sample_count=1 attempts=0 now_ns=19000000000,ObserveOnly,281629914309670,36142808,37355519,2026-09-11T21:23:28.547500Z,1212.711,35966465,37547932
5,1,a_reading_that_leaves_observe_only_restarts_the_hold,Ladder::step,mahalanobis=12.0 sample_count=1 attempts=0 now_ns=20000000000,SafeStop,281629914309670,36142808,37355519,2026-09-11T21:23:28.547500Z,1212.711,35966465,37547932
6,2,exhausted_attempts_hold_observe_only,next_step,mahalanobis=4.0 sample_count=1 attempts=3,ObserveOnly,281629914309671,37686365,38600437,2026-09-11T21:23:28.549043Z,914.072,37635227,38671774
7,2,exhausted_attempts_hold_observe_only,next_step,mahalanobis=7.0 sample_count=1 attempts=3,ObserveOnly,281629914309671,37686365,38600437,2026-09-11T21:23:28.549043Z,914.072,37635227,38671774
8,2,exhausted_attempts_hold_observe_only,next_step,mahalanobis=4.0 sample_count=1 attempts=2,Recalibrate,281629914309671,37686365,38600437,2026-09-11T21:23:28.549043Z,914.072,37635227,38671774
9,2,exhausted_attempts_hold_observe_only,next_step,mahalanobis=7.0 sample_count=1 attempts=2,RollBack,281629914309671,37686365,38600437,2026-09-11T21:23:28.549043Z,914.072,37635227,38671774
10,2,exhausted_attempts_hold_observe_only,next_step,mahalanobis=2.0 sample_count=1 attempts=3,none,281629914309671,37686365,38600437,2026-09-11T21:23:28.549043Z,914.072,37635227,38671774
11,3,ladder_escalates_with_drift,next_step,mahalanobis=2.0 sample_count=1 attempts=0,none,281629914309672,38808144,39151011,2026-09-11T21:23:28.550165Z,342.867,38737786,39328655
