kernel_name,duration_us,timestamp,grid_size,block_size,registers_per_thread,shared_mem_bytes,static_shared_mem_bytes,dynamic_shared_mem_bytes,occupancy,memory_throughput_gbps,compute_throughput_pct,l1_hit_rate,l1_bytes_total,l1_utilization,l2_hit_rate,l2_bytes_total,l2_bytes_miss,l2_utilization,dram_read_bytes,dram_write_bytes,dram_utilization,global_load_efficiency,global_store_efficiency,global_load_transactions,global_store_transactions,shared_utilization,shared_bank_conflicts
action_score,10.616,2026-09-11T18:33:42.094278,"2,1,1","256,1,1",30,1024,1024,0,,,,,,,,,,,,,,,,,,,
belief_couple,3.015,2026-09-11T18:33:42.094316,"1,1,1","4,1,1",26,12,0,12,,,,,,,,,,,,,,,,,,,
belief_update,417.336,2026-09-11T18:33:42.094335,"1,1,1","1024,1,1",42,8192,8192,0,,,,,,,,,,,,,,,,,,,
cognition_update,464.836,2026-09-11T18:33:42.094351,"1,1,1","1024,1,1",40,8192,8192,0,,,,,,,,,,,,,,,,,,,
cognition_update,465.606,2026-09-11T18:33:42.094366,"1,1,1","1024,1,1",40,8192,8192,0,,,,,,,,,,,,,,,,,,,
cognition_patch,1.539,2026-09-11T18:33:42.094380,"1,1,1","1,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
costmap_stats,1.476,2026-09-11T18:33:42.094393,"16,1,1","256,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
perception_voxel,11.226,2026-09-11T18:33:42.094407,"48,1,1","256,1,1",21,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.508,2026-09-11T18:33:42.094421,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.026,2026-09-11T18:33:42.094435,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.027,2026-09-11T18:33:42.094448,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.026,2026-09-11T18:33:42.094461,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.026,2026-09-11T18:33:42.094474,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.026,2026-09-11T18:33:42.094487,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.027,2026-09-11T18:33:42.094500,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.026,2026-09-11T18:33:42.094786,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
