kernel_name,duration_us,timestamp,grid_size,block_size,registers_per_thread,shared_mem_bytes,static_shared_mem_bytes,dynamic_shared_mem_bytes,occupancy,memory_throughput_gbps,compute_throughput_pct,l1_hit_rate,l1_bytes_total,l1_utilization,l2_hit_rate,l2_bytes_total,l2_bytes_miss,l2_utilization,dram_read_bytes,dram_write_bytes,dram_utilization,global_load_efficiency,global_store_efficiency,global_load_transactions,global_store_transactions,shared_utilization,shared_bank_conflicts
action_score,10.646,2026-09-11T18:30:02.038524,"2,1,1","256,1,1",30,1024,1024,0,,,,,,,,,,,,,,,,,,,
belief_couple,3.12,2026-09-11T18:30:02.038561,"1,1,1","4,1,1",26,12,0,12,,,,,,,,,,,,,,,,,,,
belief_update,1582.071,2026-09-11T18:30:02.038580,"1,1,1","1024,1,1",44,8192,8192,0,,,,,,,,,,,,,,,,,,,
cognition_update,1651.925,2026-09-11T18:30:02.038596,"1,1,1","1024,1,1",48,8192,8192,0,,,,,,,,,,,,,,,,,,,
cognition_update,1648.709,2026-09-11T18:30:02.038611,"1,1,1","1024,1,1",48,8192,8192,0,,,,,,,,,,,,,,,,,,,
cognition_patch,1.544,2026-09-11T18:30:02.038625,"1,1,1","1,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
costmap_stats,1.479,2026-09-11T18:30:02.038639,"16,1,1","256,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
perception_voxel,11.256,2026-09-11T18:30:02.038653,"48,1,1","256,1,1",21,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.479,2026-09-11T18:30:02.038668,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.029,2026-09-11T18:30:02.038682,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.062,2026-09-11T18:30:02.038695,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.061,2026-09-11T18:30:02.038708,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.029,2026-09-11T18:30:02.038722,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.029,2026-09-11T18:30:02.038736,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.062,2026-09-11T18:30:02.038749,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.061,2026-09-11T18:30:02.038987,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
