kernel_name,duration_us,timestamp,grid_size,block_size,registers_per_thread,shared_mem_bytes,static_shared_mem_bytes,dynamic_shared_mem_bytes,occupancy,memory_throughput_gbps,compute_throughput_pct,l1_hit_rate,l1_bytes_total,l1_utilization,l2_hit_rate,l2_bytes_total,l2_bytes_miss,l2_utilization,dram_read_bytes,dram_write_bytes,dram_utilization,global_load_efficiency,global_store_efficiency,global_load_transactions,global_store_transactions,shared_utilization,shared_bank_conflicts
"void generate_seed_pseudo<rng_config<curandStateXORWOW, (curandOrdering)101>>(unsigned long long, unsigned long long, unsigned long long, curandOrdering, curandStateXORWOW *, unsigned int *)",89.846,2026-09-11T18:05:41.236744,"64,1,1","64,1,1",40,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.594,2026-09-11T18:05:41.236925,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.18,2026-09-11T18:05:41.236973,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.148,2026-09-11T18:05:41.237007,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.498,2026-09-11T18:05:41.237037,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.084,2026-09-11T18:05:41.237075,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.052,2026-09-11T18:05:41.237106,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.403,2026-09-11T18:05:41.237134,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.116,2026-09-11T18:05:41.237167,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.085,2026-09-11T18:05:41.237195,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
