run,call,calls,calls_per_step,median_ns,host_ns_per_step
before,cuEventCreate,5494,166.48,255,49823.5
before,cuStreamWaitEvent,5494,166.48,425,78224.8
before,cuEventDestroy_v2,5494,166.48,177,35625.3
before,cuEventRecord,3289,99.67,3238,444203.8
before,cuMemAllocAsync,2747,83.24,821,367423.3
before,cuMemFreeAsync,2747,83.24,751,75332.3
before,cuLaunchKernel,1533,46.45,6393,382579.2
before,cuStreamGetCaptureInfo_v2,1353,41.00,85,4551.6
before,cuGetProcAddress_v2,1257,38.09,152,7965.6
before,cuMemcpyHtoDAsync_v2,855,25.91,5494,226970.5
before,cudaLaunchKernel_v7000,722,21.88,7366,1043332.1
before,cudaEventRecord_v3020,231,7.00,4847,41957.2
before,cuMemcpyDtoHAsync_v2,165,5.00,29313,177239.4
before,cuStreamSynchronize,66,2.00,72389,509025.4
before,cuMemcpyDtoDAsync_v2,30,0.91,8052,9758.9
before,cudaEventCreateWithFlags_v3020,18,0.55,526,153045.4
before,cudaEventDestroy_v3020,18,0.55,254,266.5
before,cudaFree_v3020,9,0.27,17423,96560.8
before,cuModuleLoadData,6,0.18,5263822,1405554.5
before,cuModuleUnload,6,0.18,173524,21643.9
before,cuInit,5,0.15,2919,435.7
before,cudaDeviceSynchronize_v3020,5,0.15,8198,26721.5
before,cudaMalloc_v3020,4,0.12,452831,34113.2
before,cuLibraryLoadData,4,0.12,6170795,600407.7
before,cuLibraryGetKernel,4,0.12,7364,750.2
before,cuModuleGetLoadingMode,3,0.09,195,16.6
before,cudaGetDriverEntryPoint_v11030,2,0.06,772,33.2
before,cudaEventQuery_v3020,2,0.06,4013,190.6
before,cuCtxSetCurrent,1,0.03,869,26.3
before,cuMemsetD8Async,1,0.03,1132324,34312.8
after,cuEventCreate,5560,168.48,255,47759.7
after,cuStreamWaitEvent,5560,168.48,408,70837.4
after,cuEventDestroy_v2,5560,168.48,181,34825.3
after,cuEventRecord,3817,115.67,3971,536213.1
after,cuMemAllocAsync,2780,84.24,822,327385.7
after,cuMemFreeAsync,2780,84.24,741,70501.8
after,cuLaunchKernel,1698,51.45,6389,374642.7
after,cuStreamGetCaptureInfo_v2,1353,41.00,86,4462.7
after,cuGetProcAddress_v2,1257,38.09,124,5725.5
after,cuMemcpyHtoDAsync_v2,855,25.91,5505,198553.2
after,cudaLaunchKernel_v7000,722,21.88,7391,989183.8
after,cudaEventRecord_v3020,231,7.00,5007,43992.7
after,cuStreamSynchronize,66,2.00,37307,323116.3
after,cuMemcpyDtoHAsync_v2,33,1.00,97401,144761.0
after,cuMemcpyDtoDAsync_v2,30,0.91,8296,9310.8
after,cudaEventCreateWithFlags_v3020,18,0.55,288,125017.3
after,cudaEventDestroy_v3020,18,0.55,306,257.1
after,cudaFree_v3020,9,0.27,13936,81586.6
after,cuModuleLoadData,6,0.18,5275162,1367373.8
after,cuModuleUnload,6,0.18,123190,19582.7
after,cuInit,5,0.15,2964,354.3
after,cudaDeviceSynchronize_v3020,5,0.15,2750,23656.9
after,cudaMalloc_v3020,4,0.12,392289,25402.9
after,cuLibraryLoadData,4,0.12,5559005,540674.8
after,cuLibraryGetKernel,4,0.12,6676,652.2
after,cuModuleGetLoadingMode,3,0.09,123,12.5
after,cudaGetDriverEntryPoint_v11030,2,0.06,685,29.7
after,cudaEventQuery_v3020,2,0.06,3853,181.7
after,cuCtxSetCurrent,1,0.03,946,28.7
after,cuMemsetD8Async,1,0.03,1208630,36625.2
