kernel_name,duration_us,timestamp,grid_size,block_size,registers_per_thread,shared_mem_bytes,static_shared_mem_bytes,dynamic_shared_mem_bytes,occupancy,memory_throughput_gbps,compute_throughput_pct,l1_hit_rate,l1_bytes_total,l1_utilization,l2_hit_rate,l2_bytes_total,l2_bytes_miss,l2_utilization,dram_read_bytes,dram_write_bytes,dram_utilization,global_load_efficiency,global_store_efficiency,global_load_transactions,global_store_transactions,shared_utilization,shared_bank_conflicts
"void generate_seed_pseudo<rng_config<curandStateXORWOW, (curandOrdering)101>>(unsigned long long, unsigned long long, unsigned long long, curandOrdering, curandStateXORWOW *, unsigned int *)",90.079,2026-09-11T18:05:34.796673,"64,1,1","64,1,1",40,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.726,2026-09-11T18:05:34.796714,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.183,2026-09-11T18:05:34.796732,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.151,2026-09-11T18:05:34.796748,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.47,2026-09-11T18:05:34.796762,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.087,2026-09-11T18:05:34.796777,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.086,2026-09-11T18:05:34.796805,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.343,2026-09-11T18:05:34.796821,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.118,2026-09-11T18:05:34.796838,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.055,2026-09-11T18:05:34.796852,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",3.836,2026-09-11T18:05:34.796865,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.023,2026-09-11T18:05:34.796878,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.086,2026-09-11T18:05:34.796892,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.087,2026-09-11T18:05:34.796905,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",0.958,2026-09-11T18:05:34.796918,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.087,2026-09-11T18:05:34.796931,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.151,2026-09-11T18:05:34.796944,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",0.991,2026-09-11T18:05:34.796957,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.087,2026-09-11T18:05:34.796971,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.151,2026-09-11T18:05:34.796984,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.022,2026-09-11T18:05:34.796998,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.055,2026-09-11T18:05:34.797019,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",4.347,2026-09-11T18:05:34.797035,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.054,2026-09-11T18:05:34.797056,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.055,2026-09-11T18:05:34.797070,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.15,2026-09-11T18:05:34.797083,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",0.99,2026-09-11T18:05:34.797097,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.087,2026-09-11T18:05:34.797110,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
const_set_f32,1.023,2026-09-11T18:05:34.797123,"1,1,1","1024,1,1",22,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",2.909,2026-09-11T18:05:34.797136,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.119,2026-09-11T18:05:34.797149,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.183,2026-09-11T18:05:34.797162,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",4.187,2026-09-11T18:05:34.797175,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.055,2026-09-11T18:05:34.797191,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.119,2026-09-11T18:05:34.797204,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",4.156,2026-09-11T18:05:34.797216,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.055,2026-09-11T18:05:34.797229,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.151,2026-09-11T18:05:34.797249,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",2.653,2026-09-11T18:05:34.797265,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.055,2026-09-11T18:05:34.797278,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
affine_f32,1.119,2026-09-11T18:05:34.797291,"1,1,1","1024,1,1",24,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float2, normal_args_st, &curand_normal_scaled2<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",25.477,2026-09-11T18:05:34.797304,"64,1,1","64,1,1",26,0,0,0,,,,,,,,,,,,,,,,,,,
"void gen_sequenced<curandStateXORWOW, float, int, &curand_uniform_noargs<curandStateXORWOW>, rng_config<curandStateXORWOW, (curandOrdering)101>>(T1 *, T2 *, unsigned long, unsigned long, T3)",1.119,2026-09-11T18:05:34.797318,"64,1,1","64,1,1",38,0,0,0,,,,,,,,,,,,,,,,,,,
