run,kind,bytes,calls,calls_per_step
before,HtoD,4,99,3.00
before,HtoD,16,33,1.00
before,HtoD,32,2,0.06
before,HtoD,48,264,8.00
before,HtoD,64,200,6.06
before,HtoD,72,99,3.00
before,HtoD,96,99,3.00
before,HtoD,128,3,0.09
before,HtoD,192,1,0.03
before,HtoD,288,1,0.03
before,HtoD,384,1,0.03
before,HtoD,512,1,0.03
before,HtoD,1024,3,0.09
before,HtoD,1536,1,0.03
before,HtoD,2048,3,0.09
before,HtoD,4096,1,0.03
before,HtoD,4608,1,0.03
before,HtoD,6144,1,0.03
before,HtoD,16384,1,0.03
before,HtoD,18080,33,1.00
before,HtoD,18432,1,0.03
before,HtoD,524288,1,0.03
before,HtoD,534528,1,0.03
before,HtoD,786432,1,0.03
before,HtoD,1048576,2,0.06
before,HtoD,1105920,1,0.03
before,HtoD,8388608,1,0.03
before,DtoH,1024,66,2.00
before,DtoH,2048,33,1.00
before,DtoH,4096,33,1.00
before,DtoH,16384,33,1.00
before,DtoD,32,2,0.06
before,DtoD,64,2,0.06
before,DtoD,128,3,0.09
before,DtoD,192,1,0.03
before,DtoD,288,1,0.03
before,DtoD,384,1,0.03
before,DtoD,512,1,0.03
before,DtoD,1024,3,0.09
before,DtoD,1536,1,0.03
before,DtoD,2048,3,0.09
before,DtoD,4096,1,0.03
before,DtoD,4608,1,0.03
before,DtoD,6144,1,0.03
before,DtoD,16384,1,0.03
before,DtoD,18432,1,0.03
before,DtoD,524288,1,0.03
before,DtoD,534528,1,0.03
before,DtoD,786432,1,0.03
before,DtoD,1048576,2,0.06
before,DtoD,1105920,1,0.03
before,DtoD,8388608,1,0.03
after,HtoD,4,99,3.00
after,HtoD,16,33,1.00
after,HtoD,32,2,0.06
after,HtoD,48,264,8.00
after,HtoD,64,200,6.06
after,HtoD,72,99,3.00
after,HtoD,96,99,3.00
after,HtoD,128,3,0.09
after,HtoD,192,1,0.03
after,HtoD,288,1,0.03
after,HtoD,384,1,0.03
after,HtoD,512,1,0.03
after,HtoD,1024,3,0.09
after,HtoD,1536,1,0.03
after,HtoD,2048,3,0.09
after,HtoD,4096,1,0.03
after,HtoD,4608,1,0.03
after,HtoD,6144,1,0.03
after,HtoD,16384,1,0.03
after,HtoD,18080,33,1.00
after,HtoD,18432,1,0.03
after,HtoD,524288,1,0.03
after,HtoD,534528,1,0.03
after,HtoD,786432,1,0.03
after,HtoD,1048576,2,0.06
after,HtoD,1105920,1,0.03
after,HtoD,8388608,1,0.03
after,DtoH,23552,33,1.00
after,DtoD,32,2,0.06
after,DtoD,64,2,0.06
after,DtoD,128,3,0.09
after,DtoD,192,1,0.03
after,DtoD,288,1,0.03
after,DtoD,384,1,0.03
after,DtoD,512,1,0.03
after,DtoD,1024,3,0.09
after,DtoD,1536,1,0.03
after,DtoD,2048,3,0.09
after,DtoD,4096,1,0.03
after,DtoD,4608,1,0.03
after,DtoD,6144,1,0.03
after,DtoD,16384,1,0.03
after,DtoD,18432,1,0.03
after,DtoD,524288,1,0.03
after,DtoD,534528,1,0.03
after,DtoD,786432,1,0.03
after,DtoD,1048576,2,0.06
after,DtoD,1105920,1,0.03
after,DtoD,8388608,1,0.03
