run,launch,kernel,duration_ns,cycles_elapsed,cycles_active_sm,warps_active_pct_of_peak,sm_throughput_pct_of_peak,instructions_per_smsp_sum,l1tex_bytes,l2_bytes,dram_bytes,registers_per_thread,static_shared_bytes,dynamic_shared_bytes,grid,block,waves_per_sm,occupancy_limit_registers,occupancy_limit_shared_mem,occupancy_limit_warps,occupancy_limit_blocks,theoretical_occupancy_pct,sm_count,tpc_count,shared_mem_config_bytes,driver_shared_mem_per_block_bytes,stack_bytes,threads,block_limit_sm,block_limit_shared_mem,block_limit_warps,theoretical_active_warps_per_sm,section_theoretical_occupancy_pct
base,0,belief_update,12976128,3973383,992091,65.59,1.52,316048,100717696,42711904,n/a,44,8192,0,1,1024,0.25,1,1,1,16,66.67,4,2,16384,1024,512,1024,16,1,1,32,66.67
base,1,cognition_update,13046368,3976442,997457.25,64.76,1.41,403680,104892416,47616320,n/a,48,8192,0,1,1024,0.25,1,1,1,16,66.67,4,2,16384,1024,512,1024,16,1,1,32,66.67
base,2,cognition_update,12991136,3977719,993268.25,64.9,1.41,403680,104892416,47169408,n/a,48,8192,0,1,1024,0.25,1,1,1,16,66.67,4,2,16384,1024,512,1024,16,1,1,32,66.67
base,3,cognition_patch,16864,3163,690,2.08,0.14,16,64,9984,n/a,16,0,0,1,1,0.02,128,16,48,16,33.33,4,2,16384,1024,512,1,16,16,48,16,33.33
base,4,costmap_stats,19520,4246,3480.75,64.58,16.58,4352,12288,23392,n/a,16,0,0,16,256,0.67,16,8,6,16,100,4,2,8192,1024,512,4096,16,8,6,48,100
base,5,add_one,16640,3229,669,2.08,0.14,13,64,9984,n/a,16,0,0,1,4,0.02,128,16,48,16,33.33,4,2,16384,1024,512,4,16,16,48,16,33.33
base,6,add_one,16416,3115,681.5,2.08,0.14,13,64,9984,n/a,16,0,0,1,4,0.02,128,16,48,16,33.33,4,2,16384,1024,512,4,16,16,48,16,33.33
base,7,add_one,16384,3081,672.25,2.08,0.15,13,64,9984,n/a,16,0,0,1,4,0.02,128,16,48,16,33.33,4,2,16384,1024,512,4,16,16,48,16,33.33
base,8,add_one,16992,3232,666,2.08,0.14,13,64,9984,n/a,16,0,0,1,4,0.02,128,16,48,16,33.33,4,2,16384,1024,512,4,16,16,48,16,33.33
base,9,add_one,16832,3080,675.75,2.08,0.15,13,64,9984,n/a,16,0,0,1,4,0.02,128,16,48,16,33.33,4,2,16384,1024,512,4,16,16,48,16,33.33
base,10,add_one,16736,3297,667.5,2.08,0.14,13,64,9984,n/a,16,0,0,1,4,0.02,128,16,48,16,33.33,4,2,16384,1024,512,4,16,16,48,16,33.33
base,11,add_one,16096,3077,674.75,2.08,0.15,13,64,9984,n/a,16,0,0,1,4,0.02,128,16,48,16,33.33,4,2,16384,1024,512,4,16,16,48,16,33.33
base,12,add_one,16064,3106,671.25,2.08,0.14,13,64,9984,n/a,16,0,0,1,4,0.02,128,16,48,16,33.33,4,2,16384,1024,512,4,16,16,48,16,33.33
none,0,belief_update,12994688,3972285,993538.25,65.66,1.52,316048,100717696,42839264,n/a,44,8192,0,1,1024,0.25,1,1,1,16,66.67,4,2,16384,1024,512,1024,16,1,1,32,66.67
none,1,cognition_update,13004768,3980401,994267.25,64.68,1.41,403680,104892416,47213696,n/a,48,8192,0,1,1024,0.25,1,1,1,16,66.67,4,2,16384,1024,512,1024,16,1,1,32,66.67
none,2,cognition_update,13014528,3974437,995054,64.57,1.41,403680,104892416,47627200,n/a,48,8192,0,1,1024,0.25,1,1,1,16,66.67,4,2,16384,1024,512,1024,16,1,1,32,66.67
none,3,cognition_patch,16288,3199,694.75,2.08,0.14,16,64,9984,n/a,16,0,0,1,1,0.02,128,16,48,16,33.33,4,2,16384,1024,512,1,16,16,48,16,33.33
none,4,costmap_stats,19328,4235,3542.25,64.37,16.62,4352,12288,23392,n/a,16,0,0,16,256,0.67,16,8,6,16,100,4,2,8192,1024,512,4096,16,8,6,48,100
none,5,add_one,17088,3155,693,2.08,0.14,13,64,9984,n/a,16,0,0,1,4,0.02,128,16,48,16,33.33,4,2,16384,1024,512,4,16,16,48,16,33.33
none,6,add_one,16224,3356,681.5,2.08,0.13,13,64,9984,n/a,16,0,0,1,4,0.02,128,16,48,16,33.33,4,2,16384,1024,512,4,16,16,48,16,33.33
none,7,add_one,16256,3134,690,2.08,0.14,13,64,9984,n/a,16,0,0,1,4,0.02,128,16,48,16,33.33,4,2,16384,1024,512,4,16,16,48,16,33.33
none,8,add_one,16992,3181,693.75,2.08,0.14,13,64,9984,n/a,16,0,0,1,4,0.02,128,16,48,16,33.33,4,2,16384,1024,512,4,16,16,48,16,33.33
none,9,add_one,16384,3159,692,2.08,0.14,13,64,9984,n/a,16,0,0,1,4,0.02,128,16,48,16,33.33,4,2,16384,1024,512,4,16,16,48,16,33.33
none,10,add_one,16512,3330,679.25,2.08,0.14,13,64,9984,n/a,16,0,0,1,4,0.02,128,16,48,16,33.33,4,2,16384,1024,512,4,16,16,48,16,33.33
none,11,add_one,16288,3165,687.25,2.08,0.14,13,64,9984,n/a,16,0,0,1,4,0.02,128,16,48,16,33.33,4,2,16384,1024,512,4,16,16,48,16,33.33
none,12,add_one,16416,3181,701.75,2.08,0.14,13,64,9984,n/a,16,0,0,1,4,0.02,128,16,48,16,33.33,4,2,16384,1024,512,4,16,16,48,16,33.33
