  max_abs_diff        scale  tensor
  2.620524e+00 5.063179e-01  predictor.output.weight
  5.084376e-01 2.201284e-01  occupancy_decoder.output.weight
  3.274819e-01 2.420361e-01  predictor.hidden.weight
  2.612563e-01 2.788795e-01  occupancy_decoder.hidden.weight
  7.949958e-02 5.213898e-02  predictor.output.bias
  7.162280e-02 1.419194e-01  occupancy_decoder.hidden.bias
  1.482923e-02 2.567003e-02  predictor.hidden.bias
  2.612825e-06 3.627651e-03  occupancy_decoder.output.bias
  0.000000e+00 1.000000e+00  target_encoder.fusion.norm.weight
  0.000000e+00 1.000000e+00  encoder.fusion.norm.weight
  0.000000e+00 9.742516e-01  target_encoder.lidar.conv1.weight
  0.000000e+00 9.742516e-01  encoder.lidar.conv1.weight
  0.000000e+00 8.656400e-01  target_encoder.pose.projection.weight
  0.000000e+00 8.656400e-01  encoder.pose.projection.weight
  0.000000e+00 8.138398e-01  target_encoder.camera.conv1.weight
  0.000000e+00 8.138398e-01  encoder.camera.conv1.weight
  0.000000e+00 4.984729e-01  target_encoder.lidar.conv2.weight
  0.000000e+00 4.984729e-01  encoder.lidar.conv2.weight
  0.000000e+00 3.532240e-01  target_encoder.lidar.conv3.weight
  0.000000e+00 3.532240e-01  encoder.lidar.conv3.weight
  0.000000e+00 2.886680e-01  target_encoder.camera.conv2.weight
  0.000000e+00 2.886680e-01  encoder.camera.conv2.weight
  0.000000e+00 2.040919e-01  target_encoder.camera.conv3.weight
  0.000000e+00 2.040919e-01  encoder.camera.conv3.weight
  0.000000e+00 6.249968e-02  target_encoder.camera.projection.weight
  0.000000e+00 6.249968e-02  encoder.camera.projection.weight
  0.000000e+00 5.412646e-02  adapter.projection.weight
  0.000000e+00 4.564338e-02  target_encoder.lidar.projection.weight
  0.000000e+00 4.564338e-02  encoder.lidar.projection.weight
  0.000000e+00 0.000000e+00  target_encoder.pose.projection.bias
  0.000000e+00 0.000000e+00  target_encoder.lidar.projection.bias
  0.000000e+00 0.000000e+00  target_encoder.lidar.conv3.bias
  0.000000e+00 0.000000e+00  target_encoder.lidar.conv2.bias
  0.000000e+00 0.000000e+00  target_encoder.lidar.conv1.bias
  0.000000e+00 0.000000e+00  target_encoder.fusion.norm.bias
  0.000000e+00 0.000000e+00  target_encoder.camera.projection.bias
  0.000000e+00 0.000000e+00  target_encoder.camera.conv3.bias
  0.000000e+00 0.000000e+00  target_encoder.camera.conv2.bias
  0.000000e+00 0.000000e+00  target_encoder.camera.conv1.bias
  0.000000e+00 0.000000e+00  encoder.pose.projection.bias
  0.000000e+00 0.000000e+00  encoder.lidar.projection.bias
  0.000000e+00 0.000000e+00  encoder.lidar.conv3.bias
  0.000000e+00 0.000000e+00  encoder.lidar.conv2.bias
  0.000000e+00 0.000000e+00  encoder.lidar.conv1.bias
  0.000000e+00 0.000000e+00  encoder.fusion.norm.bias
  0.000000e+00 0.000000e+00  encoder.camera.projection.bias
  0.000000e+00 0.000000e+00  encoder.camera.conv3.bias
  0.000000e+00 0.000000e+00  encoder.camera.conv2.bias
  0.000000e+00 0.000000e+00  encoder.camera.conv1.bias
  0.000000e+00 0.000000e+00  adapter.projection.bias
... 50 tensors total
