table,api,calls,total_ms,p50_ms,max_ms
CUPTI_ACTIVITY_KIND_RUNTIME,cuLaunchKernel,14384,97.899,0.0062,0.2384
CUPTI_ACTIVITY_KIND_RUNTIME,cudaLaunchKernel_v7000,4096,31.497,0.007,0.3559
CUPTI_ACTIVITY_KIND_RUNTIME,cuEventRecord,41266,29.951,0.0006,0.5203
CUPTI_ACTIVITY_KIND_RUNTIME,cuModuleLoadData,3,29.923,8.9467,20.4523
CUPTI_ACTIVITY_KIND_RUNTIME,cuMemcpyHtoDAsync_v2,4194,28.161,0.0054,0.8326
CUPTI_ACTIVITY_KIND_RUNTIME,cuMemAllocAsync,17570,18.822,0.0007,4.1591
CUPTI_ACTIVITY_KIND_RUNTIME,cuStreamWaitEvent,35140,15.642,0.0004,0.0474
CUPTI_ACTIVITY_KIND_RUNTIME,cuLibraryLoadData,4,15.512,5.9458,6.0422
CUPTI_ACTIVITY_KIND_RUNTIME,cuMemFreeAsync,17570,15.008,0.0008,0.1461
CUPTI_ACTIVITY_KIND_RUNTIME,cuEventCreate,35140,9.702,0.0003,0.0376
CUPTI_ACTIVITY_KIND_RUNTIME,cuEventDestroy_v2,35140,6.986,0.0002,0.0968
CUPTI_ACTIVITY_KIND_RUNTIME,cuMemcpyDtoHAsync_v2,16,4.272,0.1723,0.8855
CUPTI_ACTIVITY_KIND_RUNTIME,cudaEventCreateWithFlags_v3020,18,2.639,0.0004,2.6257
CUPTI_ACTIVITY_KIND_RUNTIME,cudaFree_v3020,9,2.546,0.0119,1.9926
CUPTI_ACTIVITY_KIND_RUNTIME,cudaMalloc_v3020,3,0.711,0.3312,0.3689
CUPTI_ACTIVITY_KIND_RUNTIME,cudaDeviceSynchronize_v3020,4,0.615,0.0076,0.603
CUPTI_ACTIVITY_KIND_RUNTIME,cuModuleUnload,3,0.487,0.1632,0.2902
CUPTI_ACTIVITY_KIND_RUNTIME,cuGetProcAddress_v2,1257,0.192,0.0001,0.0017
CUPTI_ACTIVITY_KIND_RUNTIME,cuLibraryGetKernel,4,0.02,0.0066,0.0074
CUPTI_ACTIVITY_KIND_RUNTIME,cuInit,5,0.01,0.0021,0.0027
CUPTI_ACTIVITY_KIND_RUNTIME,cudaEventDestroy_v3020,18,0.009,0.0003,0.0026
CUPTI_ACTIVITY_KIND_RUNTIME,cudaGetDriverEntryPoint_v11030,2,0.002,0.0013,0.0013
CUPTI_ACTIVITY_KIND_RUNTIME,cuCtxSetCurrent,1,0.001,0.0006,0.0006
CUPTI_ACTIVITY_KIND_RUNTIME,cuModuleGetLoadingMode,3,0.0,0.0001,0.0002
