table,api,calls,total_ms,p50_ms,max_ms
CUPTI_ACTIVITY_KIND_RUNTIME,cuMemcpyDtoHAsync_v2,3072,130.062,0.0309,1.0356
CUPTI_ACTIVITY_KIND_RUNTIME,cuLaunchKernel,11264,81.645,0.0063,0.3247
CUPTI_ACTIVITY_KIND_RUNTIME,cuMemcpyHtoDAsync_v2,7218,46.405,0.0054,0.9921
CUPTI_ACTIVITY_KIND_RUNTIME,cudaLaunchKernel_v7000,4096,32.594,0.0071,0.1106
CUPTI_ACTIVITY_KIND_RUNTIME,cuModuleLoadData,3,30.123,8.7536,20.8624
CUPTI_ACTIVITY_KIND_RUNTIME,cuEventRecord,34866,28.729,0.0007,0.4214
CUPTI_ACTIVITY_KIND_RUNTIME,cuMemAllocAsync,20530,20.136,0.0006,4.7511
CUPTI_ACTIVITY_KIND_RUNTIME,cuStreamWaitEvent,41060,19.027,0.0004,0.1633
CUPTI_ACTIVITY_KIND_RUNTIME,cuLibraryLoadData,4,15.932,5.3463,5.968
CUPTI_ACTIVITY_KIND_RUNTIME,cuMemFreeAsync,20530,15.567,0.0007,0.0688
CUPTI_ACTIVITY_KIND_RUNTIME,cuEventCreate,41060,11.524,0.0003,0.1371
CUPTI_ACTIVITY_KIND_RUNTIME,cuEventDestroy_v2,41060,9.475,0.0002,0.1803
CUPTI_ACTIVITY_KIND_RUNTIME,cudaEventCreateWithFlags_v3020,18,3.795,0.0003,3.7807
CUPTI_ACTIVITY_KIND_RUNTIME,cudaFree_v3020,9,2.593,0.0105,2.0872
CUPTI_ACTIVITY_KIND_RUNTIME,cudaMalloc_v3020,3,0.712,0.3508,0.3518
CUPTI_ACTIVITY_KIND_RUNTIME,cudaDeviceSynchronize_v3020,4,0.638,0.0021,0.633
CUPTI_ACTIVITY_KIND_RUNTIME,cuModuleUnload,3,0.474,0.1937,0.2455
CUPTI_ACTIVITY_KIND_RUNTIME,cuGetProcAddress_v2,1257,0.261,0.0001,0.0656
CUPTI_ACTIVITY_KIND_RUNTIME,cuLibraryGetKernel,4,0.017,0.0053,0.0063
CUPTI_ACTIVITY_KIND_RUNTIME,cudaEventDestroy_v3020,18,0.009,0.0004,0.0021
CUPTI_ACTIVITY_KIND_RUNTIME,cuInit,5,0.009,0.002,0.0024
CUPTI_ACTIVITY_KIND_RUNTIME,cudaGetDriverEntryPoint_v11030,2,0.001,0.0007,0.0007
CUPTI_ACTIVITY_KIND_RUNTIME,cuCtxSetCurrent,1,0.001,0.0007,0.0007
CUPTI_ACTIVITY_KIND_RUNTIME,cuModuleGetLoadingMode,3,0.0,0.0002,0.0002
