# session leash-camera; frames 640x480; input live JPEG camera at http://127.0.0.1:8000/camera/snapshot
tick,luminance,fired_input,rate_l,rate_r,command,throttle
0,0.3841,0,0.00000,0.00000,0,0.00000
1,0.3841,0,0.00000,0.00000,0,0.00000
2,0.3841,0,0.00000,0.00000,0,0.00000
3,0.3841,0,0.00000,0.00000,0,0.00000
4,0.3842,37254,0.00000,0.00000,0,0.00000
5,0.3842,42522,0.00791,0.00799,0,0.01590
6,0.3842,13082,0.59248,0.55544,-1,1.00000
7,0.3842,22362,0.31850,0.34665,1,0.66515
8,0.3842,50452,0.06231,0.07992,1,0.14223
9,0.3842,19800,0.57369,0.52148,-1,1.00000
10,0.3841,22634,0.33136,0.36064,1,0.69199
11,0.3841,49798,0.07023,0.09391,1,0.16413
12,0.3841,21000,0.57171,0.51948,-1,1.00000
13,0.3841,22786,0.33234,0.36264,1,0.69498
14,0.3841,49700,0.07023,0.09491,1,0.16513
15,0.3841,21181,0.57171,0.51548,-1,1.00000
16,0.3841,22807,0.32740,0.36464,1,0.69203
17,0.3841,49682,0.07517,0.09391,1,0.16908
18,0.3841,21296,0.56973,0.51548,-1,1.00000
19,0.3841,22853,0.32641,0.36464,1,0.69104
20,0.3841,49668,0.07715,0.09391,1,0.17106
21,0.3841,21302,0.56973,0.51548,-1,1.00000
22,0.3841,22817,0.32740,0.36364,1,0.69104
23,0.3841,49668,0.07715,0.09491,1,0.17206
24,0.3841,21255,0.56973,0.51548,-1,1.00000
25,0.3841,22877,0.32740,0.36364,1,0.69104
26,0.3841,49663,0.07715,0.09491,1,0.17206
27,0.3841,21252,0.56677,0.51449,-1,1.00000
28,0.3841,22826,0.32938,0.36364,1,0.69301
29,0.3841,49688,0.07814,0.09491,1,0.17305
30,0.3841,21299,0.56677,0.51449,-1,1.00000
31,0.3841,22817,0.32938,0.36264,1,0.69201
32,0.3841,49723,0.07814,0.09590,1,0.17404
33,0.3841,21286,0.56677,0.51449,-1,1.00000
34,0.3841,22822,0.32938,0.36164,1,0.69102
35,0.3841,49669,0.07814,0.09690,1,0.17504
36,0.3841,21255,0.56578,0.51449,-1,1.00000
37,0.3841,22843,0.33037,0.36064,1,0.69101
38,0.3841,49663,0.07814,0.09790,1,0.17604
39,0.3841,21316,0.56578,0.51149,-1,1.00000
40,0.3841,22823,0.33037,0.36264,1,0.69300
41,0.3841,49712,0.07814,0.09790,1,0.17604
42,0.3841,21254,0.56578,0.51149,-1,1.00000
43,0.3831,22822,0.33037,0.36264,1,0.69300
44,0.3831,49664,0.07814,0.09790,1,0.17604
45,0.3831,21307,0.56578,0.51149,-1,1.00000
46,0.3831,22881,0.33037,0.36264,1,0.69300
47,0.3831,49661,0.07814,0.09790,1,0.17604
48,0.3831,21253,0.56578,0.51149,-1,1.00000
49,0.3812,22822,0.33037,0.36264,1,0.69300
50,0.3812,49663,0.07814,0.09790,1,0.17604
51,0.3812,21257,0.56479,0.51149,-1,1.00000
52,0.3812,22873,0.33037,0.35964,1,0.69001
53,0.3812,49723,0.08012,0.10090,1,0.18102
54,0.3812,21274,0.56083,0.50849,-1,1.00000
55,0.3812,22826,0.33333,0.36264,1,0.69597
56,0.3831,49664,0.08111,0.10090,1,0.18201
57,0.3831,21273,0.55292,0.50549,-1,1.00000
58,0.3831,22836,0.33927,0.36264,1,0.70191
59,0.3831,49660,0.08111,0.10090,1,0.18201
60,0.3831,21315,0.55292,0.50549,-1,1.00000
61,0.3831,22822,0.33927,0.36264,1,0.70191
62,0.3831,49682,0.08111,0.10090,1,0.18201
63,0.3831,21305,0.55292,0.50549,-1,1.00000
64,0.3831,22825,0.33828,0.36264,1,0.70092
65,0.3831,49661,0.08210,0.10090,1,0.18300
66,0.3831,21257,0.55292,0.50549,-1,1.00000
67,0.3831,22882,0.33828,0.36264,1,0.70092
68,0.3831,49657,0.08210,0.10090,1,0.18300
69,0.3831,21277,0.55292,0.50549,-1,1.00000
70,0.3841,22848,0.33828,0.36264,1,0.70092
71,0.3841,49670,0.08210,0.10090,1,0.18300
72,0.3841,21256,0.55292,0.50549,-1,1.00000
73,0.3841,22824,0.33828,0.36264,1,0.70092
74,0.3841,49768,0.08210,0.10090,1,0.18300
75,0.3841,21250,0.55292,0.50549,-1,1.00000
76,0.3841,22826,0.33828,0.36264,1,0.70092
77,0.3841,49662,0.08210,0.10090,1,0.18300
78,0.3841,21274,0.55292,0.50549,-1,1.00000
79,0.3841,22824,0.33828,0.36264,1,0.70092
80,0.3841,49661,0.08210,0.10090,1,0.18300
81,0.3841,21333,0.55292,0.50549,-1,1.00000
82,0.3841,22823,0.33828,0.36264,1,0.70092
83,0.3841,49668,0.08210,0.10090,1,0.18300
84,0.3841,21258,0.55292,0.50549,-1,1.00000
85,0.3841,22870,0.33828,0.36264,1,0.70092
86,0.3841,49678,0.08210,0.10090,1,0.18300
87,0.3841,21254,0.55292,0.50549,-1,1.00000
88,0.3841,22888,0.33828,0.36264,1,0.70092
