# session leash-camera; frames 640x480; input live JPEG camera at http://127.0.0.1:8000/camera/snapshot
tick,luminance,fired_input,rate_l,rate_r,command,throttle
0,0.4700,0,0.00000,0.00000,0,0.00000
1,0.4700,0,0.00000,0.00000,0,0.00000
2,0.4700,0,0.00000,0.00000,0,0.00000
3,0.4700,19223,0.00000,0.00000,0,0.00000
4,0.4700,50835,0.00495,0.00599,1,0.01094
5,0.4700,21363,0.51335,0.50150,-1,1.00000
6,0.4700,15206,0.39960,0.39261,-1,0.79221
7,0.4700,50886,0.06330,0.08292,1,0.14622
8,0.4700,26007,0.48961,0.47353,-1,0.96314
9,0.4700,16312,0.41147,0.40460,-1,0.81607
10,0.4700,50417,0.07517,0.09790,1,0.17308
11,0.4700,26594,0.47873,0.46154,-1,0.94027
12,0.4700,16585,0.41741,0.40959,-1,0.82700
13,0.4700,50397,0.07913,0.10589,1,0.18502
14,0.4681,26630,0.47676,0.45954,-1,0.93630
15,0.4681,16718,0.41840,0.41059,-1,0.82899
16,0.4681,50363,0.08012,0.10589,1,0.18601
17,0.4681,26644,0.47676,0.46054,-1,0.93730
18,0.4681,16680,0.41840,0.41059,-1,0.82899
19,0.4681,50366,0.08012,0.10589,1,0.18601
20,0.4669,26650,0.47676,0.46054,-1,0.93730
21,0.4669,16716,0.41840,0.40859,-1,0.82699
22,0.4669,50355,0.08012,0.10789,1,0.18801
23,0.4669,26653,0.47577,0.46054,-1,0.93631
24,0.4669,16698,0.41939,0.40859,-1,0.82798
25,0.4669,50401,0.08012,0.10789,1,0.18801
26,0.4662,26651,0.47577,0.46054,-1,0.93631
27,0.4662,16689,0.41840,0.40859,-1,0.82699
28,0.4662,50358,0.08111,0.10789,1,0.18900
29,0.4662,26676,0.47577,0.46054,-1,0.93631
30,0.4662,16657,0.41840,0.40859,-1,0.82699
31,0.4662,50361,0.08111,0.10789,1,0.18900
32,0.4662,26698,0.47577,0.46054,-1,0.93631
33,0.4689,16736,0.41840,0.40859,-1,0.82699
34,0.4689,50354,0.08111,0.10789,1,0.18900
35,0.4689,26653,0.47577,0.46054,-1,0.93631
36,0.4689,16647,0.41840,0.40859,-1,0.82699
37,0.4689,50380,0.08111,0.10789,1,0.18900
38,0.4689,26656,0.47577,0.46054,-1,0.93631
39,0.4689,16735,0.41840,0.40859,-1,0.82699
40,0.4689,50356,0.08111,0.10789,1,0.18900
41,0.4689,26666,0.47577,0.46054,-1,0.93631
42,0.4689,16701,0.41840,0.40859,-1,0.82699
43,0.4689,50355,0.08111,0.10789,1,0.18900
44,0.4689,26655,0.47577,0.46054,-1,0.93631
45,0.4699,16717,0.41840,0.40859,-1,0.82699
46,0.4699,50397,0.08111,0.10789,1,0.18900
47,0.4699,26650,0.47577,0.46054,-1,0.93631
48,0.4699,16647,0.41840,0.40859,-1,0.82699
49,0.4699,50359,0.08111,0.10789,1,0.18900
50,0.4699,26658,0.47577,0.46054,-1,0.93631
51,0.4699,16737,0.41840,0.40859,-1,0.82699
52,0.4685,50369,0.08111,0.10789,1,0.18900
53,0.4685,26726,0.47577,0.46054,-1,0.93631
54,0.4685,16643,0.41840,0.40859,-1,0.82699
55,0.4685,50351,0.08111,0.10789,1,0.18900
56,0.4685,26654,0.47577,0.46054,-1,0.93631
57,0.4685,16691,0.41840,0.40859,-1,0.82699
58,0.4687,50356,0.08111,0.10789,1,0.18900
59,0.4687,26665,0.47577,0.46054,-1,0.93631
60,0.4687,16742,0.41840,0.40859,-1,0.82699
61,0.4687,50378,0.08111,0.10789,1,0.18900
62,0.4687,26653,0.47577,0.46054,-1,0.93631
63,0.4687,16702,0.41840,0.40859,-1,0.82699
64,0.4687,50355,0.08111,0.10789,1,0.18900
65,0.4683,26655,0.47577,0.46054,-1,0.93631
66,0.4683,16651,0.41840,0.40859,-1,0.82699
67,0.4683,50399,0.08111,0.10789,1,0.18900
68,0.4683,26656,0.47577,0.46054,-1,0.93631
69,0.4683,16760,0.41840,0.40859,-1,0.82699
70,0.4683,50358,0.08111,0.10789,1,0.18900
71,0.4683,26652,0.47577,0.46054,-1,0.93631
72,0.4683,16646,0.41840,0.40859,-1,0.82699
73,0.4683,50356,0.08111,0.10789,1,0.18900
74,0.4683,26707,0.47577,0.46054,-1,0.93631
75,0.4683,16687,0.41840,0.40859,-1,0.82699
76,0.4683,50358,0.08111,0.10789,1,0.18900
77,0.4682,26683,0.47577,0.46054,-1,0.93631
78,0.4682,16692,0.41840,0.40859,-1,0.82699
79,0.4682,50355,0.08111,0.10789,1,0.18900
80,0.4682,26655,0.47577,0.46054,-1,0.93631
81,0.4682,16735,0.41840,0.40859,-1,0.82699
82,0.4682,50356,0.08111,0.10789,1,0.18900
83,0.4682,26654,0.47577,0.46054,-1,0.93631
84,0.4679,16650,0.41840,0.40859,-1,0.82699
85,0.4679,50392,0.08111,0.10789,1,0.18900
86,0.4679,26658,0.47577,0.46054,-1,0.93631
87,0.4679,16735,0.41840,0.40859,-1,0.82699
88,0.4679,50401,0.08111,0.10789,1,0.18900
89,0.4679,26649,0.47577,0.46054,-1,0.93631
90,0.4678,16643,0.41840,0.40859,-1,0.82699
91,0.4678,50358,0.08111,0.10789,1,0.18900
92,0.4678,26653,0.47577,0.46054,-1,0.93631
93,0.4678,16715,0.41840,0.40859,-1,0.82699
94,0.4678,50358,0.08111,0.10789,1,0.18900
95,0.4678,26703,0.47577,0.46054,-1,0.93631
96,0.4678,16696,0.41840,0.40859,-1,0.82699
97,0.4694,50353,0.08111,0.10789,1,0.18900
98,0.4694,26653,0.47577,0.46054,-1,0.93631
99,0.4694,16686,0.41840,0.40859,-1,0.82699
100,0.4694,50357,0.08111,0.10789,1,0.18900
101,0.4694,26682,0.47577,0.46054,-1,0.93631
102,0.4694,16690,0.41840,0.40859,-1,0.82699
103,0.4713,50360,0.08111,0.10789,1,0.18900
104,0.4713,26655,0.47577,0.46054,-1,0.93631
105,0.4713,16735,0.41840,0.40859,-1,0.82699
106,0.4713,50356,0.08111,0.10789,1,0.18900
107,0.4713,26664,0.47577,0.46054,-1,0.93631
108,0.4713,16648,0.41840,0.40859,-1,0.82699
109,0.4713,50424,0.08111,0.10789,1,0.18900
110,0.4717,26647,0.47577,0.46054,-1,0.93631
111,0.4717,16692,0.41840,0.40859,-1,0.82699
112,0.4717,50359,0.08111,0.10789,1,0.18900
113,0.4717,26652,0.47577,0.46054,-1,0.93631
114,0.4717,16694,0.41840,0.40859,-1,0.82699
115,0.4717,50358,0.08111,0.10789,1,0.18900
116,0.4716,26698,0.47577,0.46054,-1,0.93631
117,0.4716,16709,0.41840,0.40859,-1,0.82699
118,0.4716,50362,0.08111,0.10789,1,0.18900
119,0.4716,26657,0.47577,0.46054,-1,0.93631
120,0.4716,16644,0.41840,0.40859,-1,0.82699
121,0.4716,50354,0.08111,0.10789,1,0.18900
122,0.4702,26657,0.47577,0.46054,-1,0.93631
123,0.4702,16778,0.41840,0.40859,-1,0.82699
124,0.4702,50357,0.08111,0.10789,1,0.18900
125,0.4702,26681,0.47577,0.46054,-1,0.93631
126,0.4702,16646,0.41840,0.40859,-1,0.82699
127,0.4702,50355,0.08111,0.10789,1,0.18900
128,0.4702,26656,0.47577,0.46054,-1,0.93631
129,0.4702,16699,0.41840,0.40859,-1,0.82699
130,0.4702,50402,0.08111,0.10789,1,0.18900
131,0.4702,26651,0.47577,0.46054,-1,0.93631
132,0.4702,16691,0.41840,0.40859,-1,0.82699
133,0.4702,50382,0.08111,0.10789,1,0.18900
134,0.4702,26653,0.47577,0.46054,-1,0.93631
135,0.4699,16687,0.41840,0.40859,-1,0.82699
136,0.4699,50359,0.08111,0.10789,1,0.18900
137,0.4699,26704,0.47577,0.46054,-1,0.93631
138,0.4699,16641,0.41840,0.40859,-1,0.82699
139,0.4699,50353,0.08111,0.10789,1,0.18900
140,0.4699,26666,0.47577,0.46054,-1,0.93631
141,0.4730,16759,0.41840,0.40859,-1,0.82699
142,0.4730,50353,0.08111,0.10789,1,0.18900
143,0.4730,26657,0.47577,0.46054,-1,0.93631
144,0.4730,16689,0.41840,0.40859,-1,0.82699
145,0.4730,50356,0.08111,0.10789,1,0.18900
146,0.4730,26653,0.47577,0.46054,-1,0.93631
147,0.4730,16692,0.41840,0.40859,-1,0.82699
148,0.4731,50358,0.08111,0.10789,1,0.18900
149,0.4731,26710,0.47577,0.46054,-1,0.93631
150,0.4731,16659,0.41840,0.40859,-1,0.82699
151,0.4731,50411,0.08111,0.10789,1,0.18900
152,0.4731,26652,0.47577,0.46054,-1,0.93631
153,0.4731,16686,0.41840,0.40859,-1,0.82699
154,0.4731,50354,0.08111,0.10789,1,0.18900
155,0.4730,26656,0.47577,0.46054,-1,0.93631
156,0.4730,16646,0.41840,0.40859,-1,0.82699
157,0.4730,50408,0.08111,0.10789,1,0.18900
158,0.4730,26702,0.47577,0.46054,-1,0.93631
159,0.4730,16703,0.41840,0.40859,-1,0.82699
160,0.4730,50354,0.08111,0.10789,1,0.18900
161,0.4734,26659,0.47577,0.46054,-1,0.93631
162,0.4734,16653,0.41840,0.40859,-1,0.82699
163,0.4734,50353,0.08111,0.10789,1,0.18900
164,0.4734,26657,0.47577,0.46054,-1,0.93631
165,0.4734,16789,0.41840,0.40859,-1,0.82699
166,0.4734,50353,0.08111,0.10789,1,0.18900
167,0.4722,26658,0.47577,0.46054,-1,0.93631
168,0.4722,16662,0.41840,0.40859,-1,0.82699
169,0.4722,50358,0.08111,0.10789,1,0.18900
170,0.4722,26659,0.47577,0.46054,-1,0.93631
171,0.4722,16688,0.41840,0.40859,-1,0.82699
172,0.4722,50402,0.08111,0.10789,1,0.18900
173,0.4722,26686,0.47577,0.46054,-1,0.93631
174,0.4724,16672,0.41840,0.40859,-1,0.82699
175,0.4724,50356,0.08111,0.10789,1,0.18900
176,0.4724,26657,0.47577,0.46054,-1,0.93631
177,0.4724,16703,0.41840,0.40859,-1,0.82699
178,0.4724,50359,0.08111,0.10789,1,0.18900
179,0.4724,26703,0.47577,0.46054,-1,0.93631
180,0.4739,16642,0.41840,0.40859,-1,0.82699
181,0.4739,50378,0.08111,0.10789,1,0.18900
182,0.4739,26685,0.47577,0.46054,-1,0.93631
183,0.4739,16687,0.41840,0.40859,-1,0.82699
184,0.4739,50367,0.08111,0.10789,1,0.18900
185,0.4739,26657,0.47577,0.46054,-1,0.93631
186,0.4739,16707,0.41840,0.40859,-1,0.82699
187,0.4739,50358,0.08111,0.10789,1,0.18900
188,0.4739,26656,0.47577,0.46054,-1,0.93631
189,0.4739,16711,0.41840,0.40859,-1,0.82699
190,0.4739,50383,0.08111,0.10789,1,0.18900
191,0.4739,26658,0.47577,0.46054,-1,0.93631
192,0.4739,16647,0.41840,0.40859,-1,0.82699
193,0.4739,50398,0.08111,0.10789,1,0.18900
194,0.4739,26654,0.47577,0.46054,-1,0.93631
195,0.4739,16714,0.41840,0.40859,-1,0.82699
196,0.4739,50361,0.08111,0.10789,1,0.18900
197,0.4739,26678,0.47577,0.46054,-1,0.93631
