# session leash-camera; frames 640x480; input live JPEG camera at http://192.168.55.1:8000/camera/snapshot
tick,luminance,fired_input,rate_l,rate_r,command,throttle
0,0.4613,0,0.00000,0.00000,0,0.00000
1,0.4613,0,0.00000,0.00000,0,0.00000
2,0.4613,0,0.00000,0.00000,0,0.00000
3,0.4613,19223,0.00000,0.00000,0,0.00000
4,0.4613,50835,0.00495,0.00599,1,0.01094
5,0.4613,21358,0.51335,0.50150,-1,1.00000
6,0.4613,15190,0.39960,0.39261,-1,0.79221
7,0.4613,50911,0.06330,0.08292,1,0.14622
8,0.4613,25999,0.48961,0.47353,-1,0.96314
9,0.4613,16322,0.41147,0.40460,-1,0.81607
10,0.4613,50422,0.07517,0.09790,1,0.17308
11,0.4613,26583,0.47873,0.46154,-1,0.94027
12,0.4613,16594,0.41741,0.40959,-1,0.82700
13,0.4613,50402,0.07913,0.10589,1,0.18502
14,0.4613,26623,0.47676,0.45954,-1,0.93630
15,0.4613,16708,0.41840,0.41059,-1,0.82899
16,0.4613,50367,0.08012,0.10589,1,0.18601
17,0.4613,26657,0.47676,0.46054,-1,0.93730
18,0.4613,16687,0.41840,0.41059,-1,0.82899
19,0.4613,50370,0.08012,0.10589,1,0.18601
20,0.4613,26644,0.47676,0.46054,-1,0.93730
21,0.4613,16719,0.41840,0.40859,-1,0.82699
22,0.4613,50357,0.08012,0.10789,1,0.18801
23,0.4639,26644,0.47577,0.46054,-1,0.93631
24,0.4639,16687,0.41939,0.40859,-1,0.82798
25,0.4639,50404,0.08012,0.10789,1,0.18801
26,0.4639,26644,0.47577,0.46054,-1,0.93631
27,0.4639,16713,0.41840,0.40859,-1,0.82699
28,0.4639,50357,0.08111,0.10789,1,0.18900
29,0.4639,26667,0.47577,0.46054,-1,0.93631
30,0.4639,16664,0.41840,0.40859,-1,0.82699
31,0.4639,50360,0.08111,0.10789,1,0.18900
32,0.4639,26688,0.47577,0.46054,-1,0.93631
33,0.4639,16727,0.41840,0.40859,-1,0.82699
34,0.4639,50354,0.08111,0.10789,1,0.18900
35,0.4639,26644,0.47577,0.46054,-1,0.93631
36,0.4639,16656,0.41840,0.40859,-1,0.82699
37,0.4639,50396,0.08111,0.10789,1,0.18900
38,0.4639,26649,0.47577,0.46054,-1,0.93631
39,0.4639,16742,0.41840,0.40859,-1,0.82699
40,0.4639,50354,0.08111,0.10789,1,0.18900
41,0.4639,26657,0.47577,0.46054,-1,0.93631
42,0.4639,16691,0.41840,0.40859,-1,0.82699
43,0.4639,50354,0.08111,0.10789,1,0.18900
44,0.4639,26648,0.47577,0.46054,-1,0.93631
45,0.4639,16723,0.41840,0.40859,-1,0.82699
46,0.4639,50397,0.08111,0.10789,1,0.18900
47,0.4639,26659,0.47577,0.46054,-1,0.93631
48,0.4639,16656,0.41840,0.40859,-1,0.82699
49,0.4639,50355,0.08111,0.10789,1,0.18900
50,0.4659,26647,0.47577,0.46054,-1,0.93631
51,0.4659,16731,0.41840,0.40859,-1,0.82699
52,0.4659,50366,0.08111,0.10789,1,0.18900
53,0.4659,26716,0.47577,0.46054,-1,0.93631
54,0.4659,16651,0.41840,0.40859,-1,0.82699
55,0.4659,50351,0.08111,0.10789,1,0.18900
56,0.4659,26647,0.47577,0.46054,-1,0.93631
57,0.4659,16719,0.41840,0.40859,-1,0.82699
58,0.4659,50357,0.08111,0.10789,1,0.18900
59,0.4659,26652,0.47577,0.46054,-1,0.93631
60,0.4659,16735,0.41840,0.40859,-1,0.82699
61,0.4659,50375,0.08111,0.10789,1,0.18900
62,0.4659,26645,0.47577,0.46054,-1,0.93631
63,0.4659,16708,0.41840,0.40859,-1,0.82699
64,0.4659,50356,0.08111,0.10789,1,0.18900
65,0.4659,26648,0.47577,0.46054,-1,0.93631
66,0.4659,16661,0.41840,0.40859,-1,0.82699
67,0.4659,50419,0.08111,0.10789,1,0.18900
68,0.4659,26641,0.47577,0.46054,-1,0.93631
69,0.4659,16745,0.41840,0.40859,-1,0.82699
70,0.4659,50355,0.08111,0.10789,1,0.18900
71,0.4659,26643,0.47577,0.46054,-1,0.93631
72,0.4659,16651,0.41840,0.40859,-1,0.82699
73,0.4659,50357,0.08111,0.10789,1,0.18900
74,0.4659,26699,0.47577,0.46054,-1,0.93631
75,0.4659,16696,0.41840,0.40859,-1,0.82699
76,0.4659,50356,0.08111,0.10789,1,0.18900
77,0.4663,26684,0.47577,0.46054,-1,0.93631
78,0.4663,16683,0.41840,0.40859,-1,0.82699
79,0.4663,50353,0.08111,0.10789,1,0.18900
80,0.4663,26644,0.47577,0.46054,-1,0.93631
81,0.4663,16741,0.41840,0.40859,-1,0.82699
82,0.4663,50358,0.08111,0.10789,1,0.18900
83,0.4663,26646,0.47577,0.46054,-1,0.93631
84,0.4663,16654,0.41840,0.40859,-1,0.82699
85,0.4663,50391,0.08111,0.10789,1,0.18900
86,0.4663,26644,0.47577,0.46054,-1,0.93631
87,0.4663,16741,0.41840,0.40859,-1,0.82699
88,0.4663,50401,0.08111,0.10789,1,0.18900
89,0.4663,26640,0.47577,0.46054,-1,0.93631
90,0.4663,16648,0.41840,0.40859,-1,0.82699
91,0.4663,50358,0.08111,0.10789,1,0.18900
92,0.4663,26646,0.47577,0.46054,-1,0.93631
93,0.4663,16717,0.41840,0.40859,-1,0.82699
94,0.4663,50355,0.08111,0.10789,1,0.18900
95,0.4663,26688,0.47577,0.46054,-1,0.93631
96,0.4663,16688,0.41840,0.40859,-1,0.82699
97,0.4663,50370,0.08111,0.10789,1,0.18900
98,0.4663,26646,0.47577,0.46054,-1,0.93631
99,0.4663,16697,0.41840,0.40859,-1,0.82699
100,0.4663,50356,0.08111,0.10789,1,0.18900
101,0.4663,26667,0.47577,0.46054,-1,0.93631
102,0.4675,16695,0.41840,0.40859,-1,0.82699
103,0.4675,50355,0.08111,0.10789,1,0.18900
104,0.4675,26645,0.47577,0.46054,-1,0.93631
105,0.4675,16722,0.41840,0.40859,-1,0.82699
106,0.4675,50360,0.08111,0.10789,1,0.18900
107,0.4675,26676,0.47577,0.46054,-1,0.93631
108,0.4675,16655,0.41840,0.40859,-1,0.82699
109,0.4675,50421,0.08111,0.10789,1,0.18900
110,0.4675,26638,0.47577,0.46054,-1,0.93631
111,0.4675,16692,0.41840,0.40859,-1,0.82699
112,0.4675,50356,0.08111,0.10789,1,0.18900
113,0.4675,26643,0.47577,0.46054,-1,0.93631
114,0.4675,16684,0.41840,0.40859,-1,0.82699
115,0.4675,50362,0.08111,0.10789,1,0.18900
116,0.4675,26692,0.47577,0.46054,-1,0.93631
117,0.4675,16728,0.41840,0.40859,-1,0.82699
118,0.4675,50361,0.08111,0.10789,1,0.18900
119,0.4675,26642,0.47577,0.46054,-1,0.93631
120,0.4675,16650,0.41840,0.40859,-1,0.82699
121,0.4675,50352,0.08111,0.10789,1,0.18900
122,0.4675,26649,0.47577,0.46054,-1,0.93631
123,0.4675,16769,0.41840,0.40859,-1,0.82699
124,0.4675,50356,0.08111,0.10789,1,0.18900
125,0.4675,26671,0.47577,0.46054,-1,0.93631
126,0.4675,16651,0.41840,0.40859,-1,0.82699
127,0.4675,50372,0.08111,0.10789,1,0.18900
128,0.4679,26644,0.47577,0.46054,-1,0.93631
129,0.4679,16704,0.41840,0.40859,-1,0.82699
130,0.4679,50403,0.08111,0.10789,1,0.18900
131,0.4679,26643,0.47577,0.46054,-1,0.93631
132,0.4679,16679,0.41840,0.40859,-1,0.82699
133,0.4679,50378,0.08111,0.10789,1,0.18900
134,0.4679,26645,0.47577,0.46054,-1,0.93631
135,0.4679,16692,0.41840,0.40859,-1,0.82699
136,0.4679,50360,0.08111,0.10789,1,0.18900
137,0.4679,26708,0.47577,0.46054,-1,0.93631
138,0.4679,16647,0.41840,0.40859,-1,0.82699
139,0.4679,50356,0.08111,0.10789,1,0.18900
140,0.4679,26657,0.47577,0.46054,-1,0.93631
141,0.4679,16746,0.41840,0.40859,-1,0.82699
142,0.4679,50351,0.08111,0.10789,1,0.18900
143,0.4679,26647,0.47577,0.46054,-1,0.93631
144,0.4679,16696,0.41840,0.40859,-1,0.82699
145,0.4679,50353,0.08111,0.10789,1,0.18900
146,0.4679,26649,0.47577,0.46054,-1,0.93631
147,0.4679,16715,0.41840,0.40859,-1,0.82699
148,0.4679,50360,0.08111,0.10789,1,0.18900
149,0.4679,26669,0.47577,0.46054,-1,0.93631
150,0.4679,16679,0.41840,0.40859,-1,0.82699
151,0.4679,50406,0.08111,0.10789,1,0.18900
152,0.4679,26643,0.47577,0.46054,-1,0.93631
153,0.4668,16688,0.41840,0.40859,-1,0.82699
154,0.4668,50358,0.08111,0.10789,1,0.18900
155,0.4668,26649,0.47577,0.46054,-1,0.93631
156,0.4668,16653,0.41840,0.40859,-1,0.82699
157,0.4668,50398,0.08111,0.10789,1,0.18900
158,0.4668,26690,0.47577,0.46054,-1,0.93631
159,0.4668,16717,0.41840,0.40859,-1,0.82699
160,0.4668,50351,0.08111,0.10789,1,0.18900
161,0.4668,26646,0.47577,0.46054,-1,0.93631
162,0.4668,16661,0.41840,0.40859,-1,0.82699
163,0.4668,50356,0.08111,0.10789,1,0.18900
164,0.4668,26650,0.47577,0.46054,-1,0.93631
165,0.4668,16762,0.41840,0.40859,-1,0.82699
166,0.4668,50354,0.08111,0.10789,1,0.18900
167,0.4668,26662,0.47577,0.46054,-1,0.93631
168,0.4668,16681,0.41840,0.40859,-1,0.82699
169,0.4668,50356,0.08111,0.10789,1,0.18900
170,0.4668,26648,0.47577,0.46054,-1,0.93631
171,0.4668,16698,0.41840,0.40859,-1,0.82699
172,0.4668,50402,0.08111,0.10789,1,0.18900
173,0.4668,26674,0.47577,0.46054,-1,0.93631
174,0.4668,16647,0.41840,0.40859,-1,0.82699
175,0.4668,50354,0.08111,0.10789,1,0.18900
176,0.4668,26647,0.47577,0.46054,-1,0.93631
177,0.4668,16740,0.41840,0.40859,-1,0.82699
178,0.4668,50359,0.08111,0.10789,1,0.18900
179,0.4667,26694,0.47577,0.46054,-1,0.93631
180,0.4667,16650,0.41840,0.40859,-1,0.82699
181,0.4667,50376,0.08111,0.10789,1,0.18900
182,0.4667,26644,0.47577,0.46054,-1,0.93631
183,0.4667,16693,0.41840,0.40859,-1,0.82699
184,0.4667,50365,0.08111,0.10789,1,0.18900
185,0.4667,26649,0.47577,0.46054,-1,0.93631
186,0.4667,16727,0.41840,0.40859,-1,0.82699
187,0.4667,50374,0.08111,0.10789,1,0.18900
188,0.4667,26649,0.47577,0.46054,-1,0.93631
189,0.4667,16713,0.41840,0.40859,-1,0.82699
190,0.4667,50353,0.08111,0.10789,1,0.18900
191,0.4667,26647,0.47577,0.46054,-1,0.93631
192,0.4667,16652,0.41840,0.40859,-1,0.82699
193,0.4667,50398,0.08111,0.10789,1,0.18900
194,0.4667,26644,0.47577,0.46054,-1,0.93631
195,0.4667,16733,0.41840,0.40859,-1,0.82699
196,0.4667,50360,0.08111,0.10789,1,0.18900
197,0.4667,26687,0.47577,0.46054,-1,0.93631
198,0.4667,16648,0.41840,0.40859,-1,0.82699
199,0.4667,50355,0.08111,0.10789,1,0.18900
