# session recorded-jpeg-local-check; frames 640x480; input live JPEG camera at http://127.0.0.1:53812/camera/snapshot
tick,luminance,fired_input,rate_l,rate_r,command,throttle
0,0.4654,0,0.00000,0.00000,0,0.00000
1,0.4654,0,0.00000,0.00000,0,0.00000
2,0.4654,0,0.00000,0.00000,0,0.00000
3,0.4654,19223,0.00000,0.00000,0,0.00000
4,0.4654,50835,0.00495,0.00599,1,0.01094
5,0.4654,21479,0.51335,0.50150,-1,1.00000
6,0.4654,15078,0.39960,0.39261,-1,0.79221
7,0.4654,50862,0.06330,0.08292,1,0.14622
8,0.4654,26006,0.48961,0.47353,-1,0.96314
9,0.4654,16327,0.41147,0.40460,-1,0.81607
10,0.4654,50374,0.07517,0.09790,1,0.17308
11,0.4654,26613,0.47873,0.46154,-1,0.94027
