# session recorded-jpeg-local-check; frames 640x480; input live JPEG camera at http://127.0.0.1:53812/camera/snapshot
tick,luminance,fired_input,rate_l,rate_r,command,throttle
0,0.4654,0,0.00000,0.00000,0,0.00000
1,0.4654,0,0.00000,0.00000,0,0.00000
2,0.4654,0,0.00000,0.00000,0,0.00000
3,0.4654,19223,0.00000,0.00000,0,0.00000
4,0.4654,50835,0.00495,0.00599,1,0.01094
5,0.4654,21479,0.51335,0.50150,-1,1.00000
6,0.4654,15078,0.39960,0.39261,-1,0.79221
7,0.4654,50862,0.06330,0.08292,1,0.14622
8,0.4654,26006,0.48961,0.47353,-1,0.96314
9,0.4654,16327,0.41147,0.40460,-1,0.81607
10,0.4654,50374,0.07517,0.09790,1,0.17308
11,0.4654,26613,0.47873,0.46154,-1,0.94027
12,0.4654,16590,0.41741,0.40959,-1,0.82700
13,0.4654,50370,0.07913,0.10589,1,0.18502
14,0.4654,26652,0.47676,0.45954,-1,0.93630
15,0.4654,16690,0.41840,0.41059,-1,0.82899
16,0.4654,50315,0.08012,0.10589,1,0.18601
17,0.4654,26675,0.47676,0.46054,-1,0.93730
18,0.4654,16687,0.41840,0.41059,-1,0.82899
19,0.4654,50298,0.08012,0.10589,1,0.18601
20,0.4654,26679,0.47676,0.46054,-1,0.93730
21,0.4654,16765,0.41840,0.40859,-1,0.82699
22,0.4654,50295,0.08012,0.10789,1,0.18801
23,0.4654,26683,0.47577,0.46054,-1,0.93631
24,0.4654,16673,0.41939,0.40859,-1,0.82798
25,0.4654,50338,0.08012,0.10789,1,0.18801
26,0.4654,26679,0.47577,0.46054,-1,0.93631
27,0.4654,16695,0.41840,0.40859,-1,0.82699
28,0.4654,50298,0.08111,0.10789,1,0.18900
29,0.4654,26742,0.47577,0.46054,-1,0.93631
