# session fly-live-camera-motion-blocked; frames 640x480; input live JPEG camera at http://192.168.55.1:8000/camera/snapshot
tick,luminance,fired_input,rate_l,rate_r,command,throttle
0,0.6701,0,0.00000,0.00000,0,0.00000
1,0.6701,0,0.00000,0.00000,0,0.00000
2,0.6695,50955,0.00000,0.00000,0,0.00000
3,0.6677,33211,0.06627,0.03197,-1,0.09824
4,0.6676,8860,0.64194,0.68931,1,1.00000
5,0.6683,26110,0.24431,0.23277,-1,0.47708
6,0.6676,47991,0.08309,0.05594,-1,0.13903
7,0.6678,17963,0.63501,0.66933,1,1.00000
8,0.6685,26457,0.25618,0.24376,-1,0.49994
9,0.6685,47336,0.08704,0.06494,-1,0.15198
10,0.6679,19167,0.63106,0.66533,1,1.00000
11,0.6677,26796,0.26014,0.24376,-1,0.50389
12,0.6679,47207,0.08704,0.06893,-1,0.15597
13,0.6679,19418,0.62908,0.66234,1,1.00000
14,0.6679,26856,0.26311,0.24176,-1,0.50486
15,0.6669,47123,0.08704,0.07193,-1,0.15897
16,0.6675,19485,0.62908,0.65534,1,1.00000
17,0.6676,26980,0.26311,0.24675,-1,0.50986
18,0.6679,47093,0.08704,0.07193,-1,0.15897
19,0.6679,19488,0.62710,0.65534,1,1.00000
20,0.6683,26897,0.26508,0.24476,-1,0.50984
21,0.6686,47108,0.08704,0.07393,-1,0.16097
22,0.6673,19586,0.62710,0.65435,1,1.00000
23,0.6671,26894,0.26508,0.24575,-1,0.51084
24,0.6671,47058,0.08704,0.07393,-1,0.16097
25,0.6687,19532,0.62710,0.65435,1,1.00000
26,0.6706,26901,0.26508,0.24575,-1,0.51084
27,0.6662,47207,0.08704,0.07393,-1,0.16097
28,0.6662,19479,0.62710,0.65534,1,1.00000
29,0.6657,26900,0.26508,0.24575,-1,0.51084
