kernel_name,duration_us,timestamp,grid_size,block_size,registers_per_thread,shared_mem_bytes,static_shared_mem_bytes,dynamic_shared_mem_bytes,occupancy,memory_throughput_gbps,compute_throughput_pct,l1_hit_rate,l1_bytes_total,l1_utilization,l2_hit_rate,l2_bytes_total,l2_bytes_miss,l2_utilization,dram_read_bytes,dram_write_bytes,dram_utilization,global_load_efficiency,global_store_efficiency,global_load_transactions,global_store_transactions,shared_utilization,shared_bank_conflicts
belief_update,1547.834,2026-09-11T05:50:45.877854,"1,1,1","1024,1,1",44,8192,8192,0,,,,,,,,,,,,,,,,,,,
cognition_update,1612.697,2026-09-11T05:50:45.877880,"1,1,1","1024,1,1",48,8192,8192,0,,,,,,,,,,,,,,,,,,,
cognition_update,1612.822,2026-09-11T05:50:45.877890,"1,1,1","1024,1,1",48,8192,8192,0,,,,,,,,,,,,,,,,,,,
cognition_patch,1.385,2026-09-11T05:50:45.877899,"1,1,1","1,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
costmap_stats,1.417,2026-09-11T05:50:45.877906,"16,1,1","256,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.48,2026-09-11T05:50:45.877914,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.008,2026-09-11T05:50:45.877921,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.008,2026-09-11T05:50:45.877928,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.008,2026-09-11T05:50:45.877937,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.039,2026-09-11T05:50:45.877945,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.008,2026-09-11T05:50:45.877952,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.008,2026-09-11T05:50:45.877959,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
add_one,1.039,2026-09-11T05:50:45.877968,"1,1,1","4,1,1",16,0,0,0,,,,,,,,,,,,,,,,,,,
